taplio_id,li_id,match_method,url,created_at,content_preview,impressions,likes,comments,shares
urn:li:activity:7483976010674327552,,,,2026-07-17T20:08:46.495Z,𝐖𝐡𝐲 𝐏𝐥𝐚𝐭𝐟𝐨𝐫𝐦 𝐓𝐡𝐢𝐧𝐤𝐢𝐧𝐠 𝐍𝐞𝐞𝐝𝐬 𝐄𝐧𝐭𝐞𝐫𝐩𝐫𝐢𝐬𝐞 𝐀𝐫𝐜𝐡𝐢𝐭𝐞𝐜𝐭𝐮𝐫𝐞?  𝘈𝘯𝘥 𝘩𝘰𝘸 𝘴𝘵𝘳𝘰𝘯𝘨 𝘢𝘳𝘤𝘩𝘪𝘵𝘦𝘤𝘵𝘶𝘳𝘢𝘭 𝘧𝘰𝘶𝘯𝘥𝘢𝘵𝘪𝘰𝘯𝘴 𝘱𝘳𝘦𝘱𝘢𝘳𝘦 𝘢𝘯 𝘰𝘳𝘨𝘢𝘯𝘪𝘻𝘢𝘵𝘪𝘰𝘯 𝘧𝘰𝘳 𝘢𝘨𝘦𝘯𝘵𝘪𝘤 𝘈𝘐  Every platform team I've been part of eventually runs into the sa,193,1,1,0
urn:li:activity:7483845636379971584,,,,2026-07-17T11:30:42.841Z,The Rise of Agentic Software Development Platforms The software development landscape is going through a real architectural shift this year. The industry is moving past simple AI code completion tools,176,0,0,0
urn:li:activity:7483714073604476929,,,,2026-07-17T02:47:55.831Z,"The software development landscape is going through a real architectural shift this year. The industry is moving past simple AI code completion tools,",170,1,0,0
urn:li:activity:7483680952934674432,,,,2026-07-17T00:36:19.248Z,"""Value per token"" is the framing I hadn't heard before, more useful than counting spend. Efficient conversion beats raw usage every time. #AIEconomics #TokenEconomy #GenerativeAI #AIatScale #Enterpris",142,0,0,0
urn:li:activity:7483486964290105344,,,,2026-07-16T11:45:28.751Z,"𝐀𝐠𝐞𝐧𝐭𝐢𝐜 𝐇𝐨𝐦𝐞𝐬: 𝐀 𝐅𝐫𝐢𝐜𝐭𝐢𝐨𝐧𝐥𝐞𝐬𝐬 𝐑𝐞𝐥𝐢𝐞𝐟 𝐨𝐫 𝐚 𝐖𝐚𝐥𝐥𝐞𝐝 𝐆𝐚𝐫𝐝𝐞𝐧 𝐍𝐢𝐠𝐡𝐭𝐦𝐚𝐫𝐞?  Smart homes promised seamless, autonomous living. What most people got was five apps, three remotes, and a Samsung fridge with a cam",123,0,0,0
urn:li:activity:7483371290217570304,,,,2026-07-16T04:05:49.903Z,"The line that stayed with me: ""𝐓𝐡𝐞 𝐦𝐚𝐥𝐢𝐜𝐢𝐨𝐮𝐬 𝐢𝐧𝐬𝐢𝐝𝐞𝐫 𝐚𝐧𝐝 𝐭𝐡𝐞 𝐰𝐞𝐥𝐥-𝐦𝐞𝐚𝐧𝐢𝐧𝐠 𝐨𝐧𝐞 𝐠𝐞𝐧𝐞𝐫𝐚𝐭𝐞 𝐭𝐡𝐞 𝐬𝐚𝐦𝐞 𝐚𝐦𝐛𝐢𝐠𝐮𝐨𝐮𝐬 𝐬𝐢𝐠𝐧𝐚𝐥𝐬.""   I've seen this from the other side. At Xperi, I owned a metadata platform processi",140,0,1,0
urn:li:activity:7483188390914494465,,,,2026-07-15T15:59:03.311Z,"""𝘽𝙪𝙨𝙮 𝙬𝙤𝙧𝙠 𝙘𝙖𝙣 𝙡𝙤𝙤𝙠 𝙡𝙞𝙠𝙚 𝙥𝙧𝙤𝙜𝙧𝙚𝙨𝙨. 𝙊𝙣𝙡𝙮 𝙢𝙚𝙖𝙨𝙪𝙧𝙖𝙗𝙡𝙚 𝙤𝙪𝙩𝙘𝙤𝙢𝙚𝙨 𝙥𝙧𝙤𝙫𝙚 𝙩𝙧𝙖𝙣𝙨𝙛𝙤𝙧𝙢𝙖𝙩𝙞𝙤𝙣."" That line from Ashish Nair's piece below stuck with me. I ran a program a while back bringing together 4 different ve",153,0,1,0
urn:li:activity:7483116918720315392,,,,2026-07-15T11:15:03.012Z,"Output, Inference, and Prediction: Why Engineers Can't Just Say ""The Answer"" #MachineLearning #AI #DataScience #MLOps",197,1,0,0
urn:li:activity:7482870341967581184,,,,2026-07-14T18:55:14.533Z,𝗘𝘃𝗲𝗿 𝘄𝗼𝗻𝗱𝗲𝗿 𝘄𝗵𝗼 𝘁𝗵𝗲 𝗘𝗹𝗼𝗻 𝗠𝘂𝘀𝗸 𝗼𝗳 𝘁𝗵𝗲 𝟭𝟵𝟰𝟬𝘀 𝘄𝗮𝘀 🤔? I went down a rabbit hole with my son a few weeks back and landed on Howard Hughes. Radio transmitter at 11. Motorized bike at 12. Engineering his own,309,1,3,0
urn:li:activity:7482827799523880960,,,,2026-07-14T16:06:11.624Z,"This resonates, and it echoes something I've believed through my whole career: think of sustainable performance like a 3 legged stool, work, health, and personal life. You can't stand on 2 legs and ex",171,0,0,1
urn:li:activity:7482754530728767488,,,,2026-07-14T11:15:02.982Z,"Hughes was basically the 1940s Elon Musk! Mans built giant planes & custom bras instead of rockets & EVs. Genius, Obsession , and disruption - Eighty Years Apart. Wild tbh! #Innovation #History #Entre",4131,4,0,0
urn:li:activity:7482627369141358592,,,,2026-07-14T02:49:45.297Z,"𝐍𝐨𝐛𝐨𝐝𝐲 𝐊𝐧𝐞𝐰 𝐖𝐡𝐚𝐭 𝐖𝐨𝐮𝐥𝐝 𝐁𝐫𝐞𝐚𝐤  I once inherited a platform so fragile, engineers were afraid to touch it. Not because they didn't know how. Because nobody knew what would break. Dozens of streaming par",203,1,0,0
urn:li:activity:7481381791648526336,,,,2026-07-10T16:20:16.481Z,"If you are trying to scale AI in the enterprise without a platform mindset, you are building on sand. I was reviewing the new Perforce 2026 Platform Engineering report that dropped this week, and the ",408,1,0,0
urn:li:activity:7481150757598236674,,,,2026-07-10T01:02:13.671Z,Platform Thinking. 𝗜'𝘃𝗲 𝗻𝗼𝘁𝗶𝗰𝗲𝗱 𝗮 𝗽𝗮𝘁𝘁𝗲𝗿𝗻 𝗮𝗰𝗿𝗼𝘀𝘀 𝗲𝘃𝗲𝗿𝘆 𝗽𝗹𝗮𝘁𝗳𝗼𝗿𝗺 𝗜'𝘃𝗲 𝘄𝗼𝗿𝗸𝗲𝗱 𝗼𝗻. The teams that win aren't the ones with the fanciest model or the flashiest feature. They're the ones who treated the pl,485,3,0,0
urn:li:activity:7462965459471106048,,,,2026-05-20T20:40:20.731Z,I'm attending The data-driven path to consumption-based pricing. Join me on June 24.,365,1,0,0
